"","IDEN3","SERIE","CANSIS","GROUPE","PARCELLE","COMTE","Culture_1","COMMENTA","Duree_1","Duree_1b","Culture_2","Duree_2","Culture_3","Duree_3","Duree_rotation","Dist_Site","Nbre_site","xcoord","ycoord"
"657","RDU018","RIDEAU","RDU",1,"018","ARGENTEUIL","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,61,7,-8287211.32,5724021.772
"658","RDU020","RIDEAU","RDU",1,"020","ARGENTEUIL","2-céréales",NA,2,NA,NA,NA,NA,NA,NA,116,7,-8286791.186,5723018.709
"659","RDU021","RIDEAU","RDU",1,"021","ARGENTEUIL","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,102,7,-8288207.57,5724200.069
"660","RDU022","RIDEAU","RDU",1,"022","MASKINONGE","3-maïs-grain",NA,3,NA,"prairie",NA,NA,NA,NA,290,7,-8120310.874,5832333.92
"661","RDU031","RIDEAU","RDU",1,"031","MASKINONGE","1-prairie",NA,5,NA,"céréales",NA,NA,NA,NA,717,7,-8121097.243,5832683.876
"662","RDU050","RIDEAU","RDU",1,"050","MASKINONGE","2-céréales",NA,2,NA,NA,NA,NA,NA,NA,687,7,-8124561.49,5824633.407
"663","RDU051","RIDEAU","RDU",1,"051","MASKINONGE","2-céréales",NA,4,NA,"prairie",NA,NA,NA,NA,810,7,-8118770.85,5827126.392
"664","RDU062","RIDEAU","RDU",1,"062","MASKINONGE","1-prairie",NA,4,NA,"céréales",2,NA,NA,NA,495,7,-8130509.91,5819876.789
"665","RDU821","RIDEAU","RDU",1,"821","MASKINONGE","3-maïs-grain",NA,3,NA,"prairie",NA,NA,NA,NA,150,7,-8122895.673,5834691.236
"666","REM015","REMIGNY","REM",1,"015","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,15,7,-8839035.467,5969710.655
"667","REM039","REMIGNY","REM",1,"039","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,209,7,-8761805.554,6035229.327
"668","REM064","REMIGNY","REM",1,"064","TEMISCAMINGUE","1-prairie","implantation luzerne",NA,NA,NA,NA,NA,NA,NA,30,7,-8840369.373,6045094.839
"669","REM088","REMIGNY","REM",1,"088","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,30,7,-8838815.58,5969399.209
"670","REM089","REMIGNY","REM",1,"089","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,119,7,-8838109.872,5968847.242
"671","REM091","REMIGNY","REM",1,"091","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,15,7,-8839071.813,5969419.939
"672","RIP010","RIPON","RIP",2,"010","PAPINEAU","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,54,7,-8352220.452,5743319.618
"673","RIP011","RIPON","RIP",2,"011","PAPINEAU","2-céréales","orge",NA,NA,NA,NA,NA,NA,NA,88,7,-8351740.975,5746706.7
"674","RIP012","RIPON","RIP",2,"012","PAPINEAU","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,75,7,-8351827.715,5746100.183
"675","RIP013","RIPON","RIP",2,"013","PAPINEAU","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,31,7,-8357322.443,5739857.71
"676","RIP014","RIPON","RIP",2,"014","PAPINEAU","5-maïs-ensilage",NA,15,NA,NA,NA,NA,NA,NA,48,7,-8357104.517,5738895.969
"677","RIP028","RIPON","RIP",2,"028","PAPINEAU","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,79,7,-8357228.805,5739581.02
"678","RMB034","RAIMBAULT","RMB",3,"034","ARTHABASKA","3-maïs-grain",NA,4,NA,NA,NA,NA,NA,NA,947,7,-8029261.676,5768591.567
"679","RMB035","RAIMBAULT","RMB",3,"035","ARTHABASKA","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,743,7,-8029313.483,5766276.388
"680","RMB036","RAIMBAULT","RMB",3,"036","ARTHABASKA","3-maïs-grain",NA,4,NA,NA,NA,NA,NA,NA,1147,7,-8028953.974,5766594.877
"681","RMB037","RAIMBAULT","RMB",3,"037","ARTHABASKA","1-prairie",NA,7,NA,NA,NA,NA,NA,NA,1106,7,-8028901.02,5766356.371
"682","ROQ005","ROQUEMAURE","ROQ",1,"005","ABITIBI OUEST","1-prairie",NA,3,NA,NA,NA,NA,NA,NA,583,7,-8836632.802,6232117.784
"683","ROQ015","ROQUEMAURE","ROQ",1,"015","ABITIBI OUEST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,384,7,-8797956.335,6217260.536
"684","ROQ016","ROQUEMAURE","ROQ",1,"016","ABITIBI OUEST","1-prairie",NA,5,"5-6 ans",NA,NA,NA,NA,NA,466,7,-8822204.875,6217928.297
"685","ROQ023","ROQUEMAURE","ROQ",1,"023","ABITIBI OUEST","1-prairie",NA,6,NA,NA,NA,NA,NA,NA,305,7,-8850918.993,6247598.156
"686","ROQ024","ROQUEMAURE","ROQ",1,"024","ABITIBI OUEST","1-prairie",NA,4,"3-5 ans",NA,NA,NA,NA,NA,570,7,-8851405.055,6266485.946
"687","ROQ025","ROQUEMAURE","ROQ",1,"025","ABITIBI OUEST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,448,7,-8821292.784,6218033.154
"688","ROQ026","ROQUEMAURE","ROQ",1,"026","ABITIBI OUEST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,357,7,-8821413.247,6218633.311
"689","ROQ027","ROQUEMAURE","ROQ",1,"027","ABITIBI OUEST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,510,7,-8806419.178,6217311.031
"690","ROQ028","ROQUEMAURE","ROQ",1,"028","ABITIBI OUEST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,455,7,-8806425.529,6216951.637
"691","ROU007","ROULIER","ROU",1,"007","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,162,7,-8833502.586,5998295.143
"692","ROU020","ROULIER","ROU",1,"020","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,106,7,-8851089.885,6002955.858
"693","ROU021","ROULIER","ROU",1,"021","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,34,7,-8850924.925,6003394.383
"694","ROU028","ROULIER","ROU",1,"028","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,232,7,-8830923.992,6024647.897
"695","ROU029","ROULIER","ROU",1,"029","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,15,7,-8835946.591,6030643.497
"696","ROU051","ROULIER","ROU",1,"051","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,30,7,-8838793.441,6041433.032
"697","ROU055","ROULIER","ROU",1,"055","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,44,7,-8834294.681,6026152.302
"698","ROU082","ROULIER","ROU",1,"082","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,53,7,-8834178.618,6005924.197
"699","ROU105","ROULIER","ROU",1,"105","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,42,7,-8834818.289,6005954.326
"700","ROU106","ROULIER","ROU",1,"106","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,74,7,-8834653.41,6005941.755
"701","RVO042","RIVIERE-DU-LOUP","RVO",3,"042","BEAUCE NORD","5-maïs-ensilage",NA,5,NA,NA,NA,NA,NA,NA,1290,7,-7907450.807,5873456.755
"702","RVO044","RIVIERE-DU-LOUP","RVO",3,"044","BEAUCE NORD","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,1334,7,-7907424.58,5873368.368
"703","RVO046","RIVIERE-DU-LOUP","RVO",3,"046","BEAUCE NORD","5-maïs-ensilage",NA,12,NA,NA,NA,NA,NA,NA,919,7,-7905893.222,5863564.397
"704","RVO048","RIVIERE-DU-LOUP","RVO",3,"048","BEAUCE NORD","1-prairie",NA,5,NA,NA,NA,NA,NA,NA,834,7,-7906354.784,5862633.404
"705","RVO050","RIVIERE-DU-LOUP","RVO",3,"050","BEAUCE NORD","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,1257,7,-7906630.657,5862840.686
"706","RVO052","RIVIERE-DU-LOUP","RVO",3,"052","BEAUCE NORD","3-maïs-grain",NA,5,NA,NA,NA,NA,NA,NA,1221,7,-7908075.823,5865358.311
"707","RVO054","RIVIERE-DU-LOUP","RVO",3,"054","BEAUCE NORD","1-prairie",NA,5,NA,NA,NA,NA,NA,NA,1461,7,-7906662.984,5869234.814
"708","RVO066","RIVIERE-DU-LOUP","RVO",3,"066","BEAUCE NORD","3-maïs-grain",NA,7,NA,NA,NA,NA,NA,NA,1416,7,-7906241.915,5869105.212
"709","RXT001","ROXTON","RXT",2,"001","SHEFFORD","1-prairie",NA,8,NA,NA,NA,NA,NA,NA,1154,7,-8105416.862,5673888.486
